"HouseID","BurglaryStatus","Gate","Garage","Outdoor_sitting","Security_lights"
"H386",1,1,0,1,1
"H387",1,1,0,0,1
"H388",1,1,0,0,1
"H389",1,0,0,0,0
"H390",1,1,0,1,1
"H391",1,0,0,0,0
"H392",1,0,0,0,0
"H393",1,0,0,1,0
"H394",1,0,1,0,0
"H395",1,0,0,0,0
"H396",1,0,0,0,0
"H397",1,0,0,0,1
"H398",1,0,0,1,0
"H399",1,0,0,0,0
"H400",1,1,0,1,1
"H401",1,0,0,1,0
"H402",1,0,0,0,1
"H403",1,1,0,1,1
"H404",1,1,0,0,1
"H405",1,1,0,1,0
"H406",1,1,0,0,1
"H407",1,1,0,1,1
"H408",1,1,0,0,1
"H409",1,1,1,0,0
"H410",1,1,0,0,1
"H411",1,1,0,0,1
"H412",1,0,0,0,0
"H413",1,0,0,0,0
"H414",1,0,0,0,1
"H415",1,0,0,0,1
"H416",1,0,0,0,1
"H417",1,0,0,0,0
"H418",1,0,0,0,0
"H419",1,0,0,0,1
"H420",1,0,0,1,0
"H421",1,0,0,1,1
"H422",1,0,1,1,1
"H423",1,1,0,0,0
"H424",1,1,0,0,0
"H425",1,0,0,0,1
"H426",1,0,0,0,0
"H427",1,1,0,0,0
"H428",1,0,1,1,0
"H429",1,1,0,0,0
"H430",1,1,0,0,0
"H431",1,0,0,1,1
"H432",1,0,0,1,0
"H433",1,0,0,0,1
"H434",1,0,0,0,0
"H435",1,0,0,0,1
"H436",1,0,0,0,1
"H437",1,0,0,0,0
"H438",1,0,0,0,0
"H439",1,1,0,0,0
"H440",1,1,0,0,0
"H441",1,1,0,0,0
"H442",1,1,0,0,0
"H443",1,0,0,0,1
"H444",1,0,0,0,0
"H445",1,0,0,0,0
"H446",1,0,0,0,0
"H447",1,0,0,0,0
"H448",1,1,0,0,0
"H449",1,1,0,0,1
"H450",1,1,0,0,1
"H451",1,1,0,0,1
"H452",1,1,0,0,1
"H453",1,1,1,0,1
"H454",1,1,0,1,1
"H455",1,1,0,0,1
"H456",1,1,0,0,1
"H457",1,1,0,1,1
"H458",0,1,0,0,1
"H459",0,1,0,0,0
"H460",0,1,0,0,1
"H461",0,0,0,0,1
"H462",0,0,0,0,0
"H463",0,1,0,0,1
"H464",0,0,0,0,0
"H465",0,0,0,0,1
"H466",0,1,0,0,0
"H467",0,0,0,0,0
"H468",0,0,0,0,1
"H469",0,0,0,0,1
"H470",0,0,0,0,0
"H471",0,0,0,0,1
"H472",0,0,0,0,0
"H473",0,1,0,0,1
"H474",0,0,0,0,1
"H475",0,1,0,0,0
"H476",0,0,0,1,0
"H477",0,0,0,1,1
"H478",0,0,0,1,0
"H479",0,0,0,1,0
"H480",0,0,0,0,0
"H481",0,0,0,1,0
"H482",0,0,0,0,0
"H483",0,0,0,1,1
"H484",0,0,0,1,1
"H485",0,0,0,1,0
"H486",0,1,0,0,1
"H487",0,0,0,0,0
"H488",0,0,0,0,0
"H489",0,0,0,1,1
"H490",0,0,0,1,0
"H491",0,0,0,0,0
"H492",0,0,0,1,1
"H493",0,0,0,0,0
"H494",0,0,0,0,1
"H495",0,0,0,0,0
"H496",0,0,0,0,1
"H497",0,0,0,0,1
"H498",0,0,0,0,1
"H499",0,0,0,0,0
"H500",0,0,0,0,0
"H501",0,0,0,0,0
"H502",0,0,0,0,1
"H503",0,0,0,0,1
"H504",0,0,0,0,1
"H505",0,0,0,0,0
"H506",0,0,0,1,1
"H507",0,1,0,0,1
"H508",0,1,0,0,0
"H509",0,1,0,0,0
"H510",0,1,0,0,1
"H511",0,1,0,0,0
"H512",0,1,0,0,0
"H513",0,1,0,0,0
"H514",0,1,0,0,1
"H515",0,1,0,0,0
"H516",0,1,0,0,1
"H517",0,1,0,0,0
"H518",0,1,0,0,0
"H519",0,1,0,0,1
"H520",0,1,0,0,0
"H521",0,1,0,0,0
"H522",0,1,0,0,1
"H523",0,1,0,0,1
"H524",0,1,0,0,0
"H525",0,1,0,0,1
"H526",0,1,0,0,0
"H527",0,1,0,0,1
"H528",0,1,0,0,1
"H529",0,1,0,0,0
"H530",0,1,0,0,0
"H531",0,1,0,0,0
"H532",0,1,0,0,0
"H533",0,1,0,0,1
"H534",0,1,0,0,0
"H535",0,0,0,0,1
"H536",0,1,0,0,0
"H537",0,1,0,0,0
"H538",0,1,0,0,0
"H539",0,1,0,0,0
"H540",0,1,0,0,0
"H541",0,1,0,0,1
"H542",0,1,0,0,0
"H543",0,1,0,0,1
"H544",0,1,0,0,1
"H545",0,1,0,0,1
"H546",0,1,0,0,0
"H547",0,1,0,0,1
"H548",0,1,0,1,1
"H549",0,1,0,0,1
"H550",0,1,0,0,0
"H551",0,1,0,0,0
"H552",0,1,1,0,1
"H553",0,0,0,0,0
"H554",0,0,0,0,0
"H555",0,1,0,0,0
"H556",0,1,0,0,1
"H557",0,1,0,0,0
"H558",0,1,0,0,1
"H559",0,1,0,0,0
"H560",0,1,0,0,1
"H561",0,1,0,0,0
"H562",0,1,0,0,0
"H563",0,1,1,0,1
"H564",0,1,0,0,0
"H565",0,1,0,0,0
"H566",0,1,0,0,1
"H567",0,1,0,0,0
"H568",0,1,1,0,1
"H569",0,0,0,0,0
"H570",0,1,0,0,0
"H571",0,1,0,0,0
"H572",0,1,0,0,0
"H573",0,1,0,0,1
"H574",0,1,0,0,1
"H575",0,1,0,0,1
"H576",0,1,0,0,1
"H577",0,0,0,0,0
"H578",0,0,0,0,0
"H579",0,0,0,0,1
"H580",0,0,1,0,1
"H581",0,0,0,0,0
"H582",0,0,0,0,0
"H583",0,0,0,0,0
"H584",0,1,0,0,1
"H585",0,0,0,0,0
"H586",0,0,0,0,0
"H587",0,1,0,0,1
"H588",0,0,0,0,1
"H589",0,0,0,0,1
"H590",0,1,0,0,1
"H591",0,0,0,0,1
"H592",0,0,0,0,1
"H593",0,1,0,0,1
"H594",0,1,0,0,1
"H595",0,0,0,0,1
"H596",0,0,0,0,1
"H597",0,0,0,0,1
"H598",0,0,0,0,0
"H599",0,1,0,0,1
"H600",0,1,0,0,1
"H601",0,1,0,0,1
"H602",0,1,0,0,1
"H603",0,1,0,0,1
"H604",0,1,0,1,0
"H605",0,0,0,0,1
"H606",0,0,0,0,0
"H607",0,0,0,1,0
"H608",0,0,0,0,0
"H609",0,0,0,1,0
"H610",0,0,0,1,0
"H611",0,0,0,1,1
"H612",0,1,0,0,1
"H613",0,0,0,0,1
"H614",0,0,0,1,0
"H615",0,0,0,1,1
"H616",0,0,0,1,1
"H617",0,1,0,0,0
"H618",0,1,0,0,1
"H619",0,1,0,1,0
"H620",0,1,0,1,1
"H621",0,0,0,1,0
"H622",0,0,0,1,0
"H623",0,1,0,0,1
"H624",0,0,0,0,1
"H625",0,1,0,0,1
"H626",0,1,0,0,1
"H627",0,1,0,0,1
